# Phase, Flux
-1.147240749094149415e-01,-6.083006685031477900e+01
-1.144134587513530033e-01,4.074185429869814357e+01
-1.140598759594894096e-01,-3.801836893191357092e+01
-1.138312800111886958e-01,-6.520805797238793389e+01
-1.135497533933295111e-01,-3.456815957036951659e+01
-1.131935628834487284e-01,-1.336967397258526091e+01
-1.128905592332780650e-01,-5.636240627326927211e+01
-1.126631694189720312e-01,-1.043032009240274505e+01
-1.123376858623346131e-01,3.385113740872469634e+00
-1.119906405055168808e-01,3.541829426034759365e+01
-1.117886137386996381e-01,2.383777062786585077e+01
-1.114777647311098185e-01,2.616262979593386717e+01
-1.108341180346534838e-01,-3.878031175352791848e+01
-1.105991220059268088e-01,2.224564144892582362e+00
-1.102615261099816335e-01,7.791630316167363901e+01
-1.099239439115899941e-01,-5.990149708101633053e+01
-1.097505676139749475e-01,-3.120311513415963134e+01
-1.096871775666286020e-01,-8.171813369972636565e+01
-1.094041853016670673e-01,2.468360665530688891e+01
-1.090454326088794446e-01,-5.923691271947362225e-01
-1.087812933603486965e-01,7.343263219605766778e+01
-1.085325135205871261e-01,5.330552016991063624e+01
-1.081853182310895667e-01,-3.798285606648743595e+01
-1.078596921458552238e-01,-3.720389548644842392e+01
-1.077173874525689801e-01,-3.066569553122899805e+01
-1.076315178689599694e-01,2.039106593199058182e+01
-1.073295193230505706e-01,-3.773107100957240334e+01
-1.069734802266663065e-01,5.641116436172488591e+01
-1.067323584210249088e-01,3.046231912295915834e+01
-1.064633695070391628e-01,-4.769827064043941078e+01
-1.061095575588080209e-01,-3.535274424937284721e+01
-1.057983416700266632e-01,1.512389643254508087e+01
-1.055723645547487211e-01,5.843209227540668849e+01
-1.052539515271300186e-01,1.137824134977982737e+01
-1.049032815015012998e-01,-3.431319258395681970e+00
-1.046875786530560015e-01,-4.192595238894369913e+01
-1.043923530009116529e-01,-3.572884325597769362e+01
-1.040344173486781321e-01,-1.625901044510769111e+01
-1.037401834645647059e-01,-1.068663683789772278e+01
-1.035098183195227728e-01,2.800523495238849137e+01
-1.031779043168380428e-01,-2.435067881001451440e+01
-1.028353869269521548e-01,-1.315587896000280921e+01
-1.026472120887329531e-01,1.083069614571385841e+01
-1.025918643562933052e-01,-1.192778596281751646e+02
-1.023194921377197364e-01,-6.143947098335988954e+01
-1.019603862701751185e-01,5.174805554863937118e+01
-1.016855011058462877e-01,-1.564904792861199212e+01
-1.014444585327736181e-01,2.404236235276080436e+01
-1.011017175395824141e-01,-1.016033843193042685e+01
-1.007697058030027071e-01,6.436093273776144486e+01
-1.006115097264680402e-01,-7.014290597950889605e+01
-1.005380530879347312e-01,-7.136350542713555001e+01
-1.002452915057170379e-01,-2.880674148530992795e+01
-9.988762980455290208e-02,5.974811001063784488e+00
-9.963457187677826621e-02,7.249854602431327066e+00
